predictor	predictor_type	name	fold	diff_empty	diff_medium_surprisal	diff_full_surprisal
48	surprisal+prev_surprisal+prev2_surprisal+prev3_surprisal	1	surprisal	8	0.0305269893905153	0.00954729086199091	0.000417089990599528
49	surprisal+prev_surprisal+prev2_surprisal+prev3_surprisal	1	surprisal	9	0.0343185049429069	0.0186019135624482	0.00153465309527068
50	surprisal+prev_surprisal+prev2_surprisal+prev3_surprisal	1	surprisal	10	0.0369660500792284	0.00847368227265921	0.00099129538988052
51	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	1	0.0363762202319489	0.0197313003583703	0.000252998422887174
52	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	2	0.045796200636504	0.0197178694083169	0.00112997519538638
53	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	3	0.0372794384175847	0.0210370353461675	0.000254947400289751
54	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	4	0.0481558275775242	0.0238302273384745	-0.00033225404232784
55	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	5	0.0391691795502007	0.0227767196937876	-0.000210090475771807
56	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	6	0.0427111367828221	0.0239618138865216	0.00101978725166418
57	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	7	0.03516807309133	0.0187929549002952	-4.26506414434868e-05
58	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	8	0.0305269893905153	0.00954729086199091	0.000417089990599528
59	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	9	0.0343185049429069	0.0186019135624482	0.00153465309527068
60	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	10	0.0369660500792284	0.00847368227265921	0.00099129538988052
61	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	1	0.0363762202319489	0.0197313003583703	0.000252998422887174
62	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	2	0.045796200636504	0.0197178694083169	0.00112997519538638
63	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	3	0.0372794384175847	0.0210370353461675	0.000254947400289751
64	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	4	0.0481558275775242	0.0238302273384745	-0.00033225404232784
65	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	5	0.0391691795502007	0.0227767196937876	-0.000210090475771807
66	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	6	0.0427111367828221	0.0239618138865216	0.00101978725166418
67	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	7	0.03516807309133	0.0187929549002952	-4.26506414434868e-05
68	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	8	0.0305269893905153	0.00954729086199091	0.000417089990599528
69	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	9	0.0343185049429069	0.0186019135624482	0.00153465309527068
70	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	10	0.0369660500792284	0.00847368227265921	0.00099129538988052
71	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	1	0.0363762202319489	0.0197313003583703	0.000252998422887174
72	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	2	0.045796200636504	0.0197178694083169	0.00112997519538638
73	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	3	0.0372794384175847	0.0210370353461675	0.000254947400289751
74	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	4	0.0481558275775242	0.0238302273384745	-0.00033225404232784
75	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	5	0.0391691795502007	0.0227767196937876	-0.000210090475771807
76	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	6	0.0427111367828221	0.0239618138865216	0.00101978725166418
77	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	7	0.03516807309133	0.0187929549002952	-4.26506414434868e-05
78	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	8	0.0305269893905153	0.00954729086199091	0.000417089990599528
79	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	9	0.0343185049429069	0.0186019135624482	0.00153465309527068
80	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	10	0.0369660500792284	0.00847368227265921	0.00099129538988052
81	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	1	0.0363762202319489	0.0197313003583703	0.000252998422887174
82	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	2	0.045796200636504	0.0197178694083169	0.00112997519538638
83	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	3	0.0372794384175847	0.0210370353461675	0.000254947400289751
84	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	4	0.0481558275775242	0.0238302273384745	-0.00033225404232784
85	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	5	0.0391691795502007	0.0227767196937876	-0.000210090475771807
86	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	6	0.0427111367828221	0.0239618138865216	0.00101978725166418
87	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	7	0.03516807309133	0.0187929549002952	-4.26506414434868e-05
88	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	8	0.0305269893905153	0.00954729086199091	0.000417089990599528
89	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	9	0.0343185049429069	0.0186019135624482	0.00153465309527068
90	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	10	0.0369660500792284	0.00847368227265921	0.00099129538988052
91	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	1	0.0363762202319489	0.0197313003583703	0.000252998422887174
92	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	2	0.045796200636504	0.0197178694083169	0.00112997519538638
93	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	3	0.0372794384175847	0.0210370353461675	0.000254947400289751
94	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	4	0.0481558275775242	0.0238302273384745	-0.00033225404232784
95	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	5	0.0391691795502007	0.0227767196937876	-0.000210090475771807
96	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	6	0.0427111367828221	0.0239618138865216	0.00101978725166418
97	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	7	0.03516807309133	0.0187929549002952	-4.26506414434868e-05
98	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	8	0.0305269893905153	0.00954729086199091	0.000417089990599528
99	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	9	0.0343185049429069	0.0186019135624482	0.00153465309527068
100	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	10	0.0369660500792284	0.00847368227265921	0.00099129538988052
101	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	1	0.0363762202319489	0.0197313003583703	0.000252998422887174
102	surprisal + prev_surprisal + prev2_surprisal + prev2_surprisal + prev3_surprisal	5	prev2_surprisal	2	0.045796200636504	0.0197178694083169	0.00112997519538638
