(Intercept)	surprisal	prev_surprisal	prev2_surprisal	prev3_surprisal	word_len	freq	prev_freq	prev_word_len	prev2_freq	prev2_word_len	prev3_freq	prev3_word_len	word_len:freq	prev_freq:prev_word_len	prev2_freq:prev2_word_len	prev3_freq:prev3_word_len
1	241.998782585301	0.969855220296738	3.39919490518762	1.73180022725436	1.06226499463134	3.71454545259398	-0.41227267016667	-0.605195839323236	0.603134282092617	0.00283088898141463	1.39382494469206	-0.11215034193318	0.00976259761640887	0.125180017081537	0.230215022759214	-0.00958221145123581	0.0180292414515992
2	242.237789024406	1.00026902992417	3.40164921960867	1.80499042282436	1.08203280094305	3.76799163837101	-0.633638586900288	-0.536042469619423	0.293444131912971	0.235180215454656	1.40214377105859	-0.298096777720572	-0.170214082076337	0.151693890403781	0.245717754309205	-0.0358485478493693	0.0529321584488491
3	240.889192139717	1.12059788982174	3.37269223655559	1.6128075414659	1.10622128860452	3.62758999383524	-0.541274841786307	-0.31895307368156	0.836912579578169	0.0424832207779445	1.30016913149612	-0.134873044992877	-0.070192294699684	0.136652420410259	0.192076808007099	1.94470524507928e-05	0.0290174823405054
4	241.576770103212	1.12529488472	3.32058363509099	1.58516551158023	1.04447122685636	3.84748707275405	-0.509046835945764	-0.645199443125263	0.32017732209985	0.25645188758563	1.52417434804419	-0.109124800575208	-0.000728622614580269	0.122946181452143	0.253099390156905	-0.0311247910657608	0.0217267620974337
5	243.410279588415	1.08936348568192	3.30574000704891	1.74950947298715	1.06135157640425	3.61245855444849	-0.661502529365659	-0.475752506253785	0.505100903771761	0.0843243175205779	1.2853111983728	-0.147970407123768	0.00578149620670713	0.144480386770107	0.223975911817768	-0.0170547169484795	0.027706190678312
6	241.711255614213	1.01256748262582	3.30433003087566	1.593017272216	1.04498551988976	3.84752120490919	-0.444340428821834	-0.498140827259619	0.66081313815735	0.200269477764712	1.52415226601746	-0.22075286032135	-0.107697475027401	0.117666087090996	0.220329654084529	-0.0293646634108532	0.029919866876997
7	239.402302573492	1.13218719802051	3.32863336425383	1.70253096846249	1.01407805209471	3.74699067562066	-0.480966392944634	-0.311495809260036	0.597690412631242	0.192552490527742	1.56996316351045	-0.0496163658843051	0.0233129278807852	0.11909159652284	0.209504659138153	-0.035233489428794	0.0181222127159053
8	242.844007617173	0.972451648622069	3.40231737016962	1.63258487719796	0.914008343120107	3.83616969569531	-0.409670540503141	-0.49995979233167	0.382401984958268	0.0259421384419319	1.14152192038328	-0.21088096668424	0.00668551314562188	0.118388028140277	0.236254660136586	0.00489691336232592	0.0410842230735928
9	239.597072252418	1.0400715942875	3.30242489183083	1.67882869138454	1.06617901812061	3.81793810145049	-0.574247550771788	-0.479522707010671	0.742218012262457	0.251496385224391	1.70252792568898	-0.156336145899361	-0.125530437267227	0.145287025803227	0.214946063206605	-0.03995690378473	0.0377034241977934
10	241.916618310941	1.07787834813725	3.4369860531971	1.62734570052606	1.13413973941664	3.66635918857404	-0.511977464224407	-0.725213481634392	0.343380103336327	0.296016805870553	1.54051850061353	-0.176881510418992	0.110084593442825	0.137124566157774	0.251313482297834	-0.0355356163956427	0.0159686785050649
