(Intercept)	surprisal_buggy	prev_surprisal_buggy	prev2_surprisal_buggy	prev3_surprisal_buggy	word_len	freq	prev_freq	prev_word_len	prev2_freq	prev2_word_len	prev3_freq	prev3_word_len	word_len:freq	prev_freq:prev_word_len	prev2_freq:prev2_word_len	prev3_freq:prev3_word_len
1	291.281406807657	1.93827534075295	1.49995809238099	0.971712555106066	0.720652818010219	1.37280962418463	-0.638894534627104	0.0529716743103783	1.09475196825349	0.0238127528156564	0.502680123889254	-0.185544414971803	0.0173235546046266	0.200648503167203	0.0413985039660659	0.00489738381185395	0.0310562316752014
2	290.882380214829	1.97897355708728	1.45265792806415	0.975727818748768	0.681609393008877	1.58995429960591	-0.358146738493997	0.00817982790596342	0.904471839054508	-0.00819398411817137	0.229766080675346	-0.165569674578467	0.129834059425194	0.153861538779923	0.0572677966832201	0.027798575756329	0.0258370374609481
3	290.39569260383	1.93253792512365	1.52862179346353	0.977139131597741	0.696138238259323	1.73922252283838	-0.205130018480842	0.0537147476902452	0.995889334585185	-0.0610001929137469	0.0839864313759988	-0.247516730977484	0.0436419655077016	0.137427236493884	0.0478323795407756	0.0413433296812113	0.0352971298493016
4	291.265548942174	1.90903473705965	1.44231771330657	1.03889572439085	0.716175730395288	1.43589809664602	-0.272245745100517	-0.0461525768489998	1.03593075051477	-0.111998910606719	0.14517315976921	-0.161700367225371	0.112370399163479	0.165991242914532	0.0511471585183936	0.0403857601974396	0.0268808629020642
5	291.351824141753	1.93842362181702	1.53449669838675	0.971442526098152	0.806558602491859	1.6452449462173	-0.392941922698715	-0.00483316037598567	1.05025140398579	-0.0612139144093361	0.289091895544002	-0.252640284192964	-0.00974318202271789	0.157118553586295	0.0492393925405927	0.0261244175006039	0.0337879624887289
6	290.974107671087	1.90042565310398	1.51467348671688	0.994543769226155	0.724877441167045	1.76716361596139	-0.290574948967248	0.0737807994363676	0.882439061291112	-0.0978470320366134	0.333265201993647	-0.266589521050372	0.00734819874977725	0.142872700241414	0.0470083712321994	0.0318230069460343	0.036886108561271
7	290.261237138678	1.97379576570731	1.53535138907238	1.00916497236688	0.760466977817862	1.57774175134348	-0.379657509527478	0.104092275283939	1.03535855698373	-0.0707887269760741	0.350972953004162	-0.211356418278407	0.00935319819971082	0.15698599469074	0.0423376878898852	0.0287414822108727	0.0328261848361282
8	290.035936036789	2.01850688223373	1.51386679505574	0.983031824524798	0.702389220506648	1.72999817056468	-0.339107442166479	-0.01242453660427	0.869122735732503	-0.0118759569748348	0.356336206268437	-0.161678064283892	0.0876224115133943	0.145752998482115	0.0594634971281615	0.0236544102735112	0.0271284096161248
9	291.079430196199	1.94320040489371	1.54631633886974	0.96966228043278	0.700139358847249	1.49182920515796	-0.322080365394032	0.0635300283930661	0.891728427197182	-0.0498353276264789	0.384738805215989	-0.204248231377459	0.0124591541850231	0.160929574405954	0.0481946855406336	0.0223612298074302	0.0272694803461895
10	290.365553636117	2.05499920369653	1.53245562797245	0.924796594915984	0.678905164747457	1.7743789112782	-0.401076054870094	0.0922714320689061	1.02843503672718	-0.0494206117424041	0.210858808548698	-0.15427562510309	-0.0137908766798919	0.148989473531837	0.0442808464607981	0.0340818353684188	0.022396029313203
