text_id	word_id	word	surprisal	surprisal_buggy
0	0	There	6.632378995418549	6.443125
0	1	are	0.8770100749097764	1.0858688
0	2	now	5.1013345322571695	5.0994987
0	3	rumblings	9.47520195459947	9.4682865
0	4	that	0.872458903118968	0.8808084
0	5	Apple	4.077517367899418	4.005232
0	6	might	2.862624259898439	2.9370859
0	7	soon	4.809095541830175	4.8107214
0	8	invade	9.086854413151741	9.086102
0	9	the	0.5498437992064282	0.5504584
0	10	smart	4.195133566856384	3.624713
0	11	watch	1.9910197239369154	2.5505264
0	12	space,	3.604768083721865	3.6161666
0	13	though	4.498858601786196	4.4845953
0	14	the	2.0046699527592864	2.0192938
0	15	company	1.039429396390915	0.93582
0	16	is	1.895501040155068	1.9979001
0	17	maintaining	7.497663962421939	7.498353
0	18	its	1.8100452099461108	1.810335
0	19	customary	6.475658651906997	6.4732294
0	20	silence.	2.3688515722751617	1.9592227
0	21	The	2.3429485915694386	2.7518983
0	22	watch	6.067688032984734	5.895396
0	23	doesn't	7.700055822264403	7.8749194
0	24	have	1.5584115487727104	1.5593468
0	25	a	2.2871960728953127	2.2869089
0	26	microphone	8.75449651479721	8.083654
0	27	or	1.0572857845108956	1.7277135
0	28	speaker,	1.642554900754476	1.6431917
0	29	but	1.7892483533360064	1.7862135
0	30	you	4.913466647267342	4.8114257
0	31	can	0.5454889498651028	0.6241366
0	32	use	1.9743385240726639	2.0005014
0	33	it	1.6468954519368708	1.6449573
0	34	to	0.3777931940276176	0.37911114
0	35	control	2.1939131261315197	2.1933002
0	36	the	2.646024097397458	2.64715
0	37	music	1.7446608506143093	1.692951
0	38	on	0.7576992871472612	0.80924845
0	39	your	0.17192126452573575	0.17232738
0	40	phone.	3.140677884221077	2.9412796
0	41	You	2.6084843389689922	2.7632523
0	42	can	0.1834879983216524	0.2021118
0	43	glance	8.135790309519507	8.161076
0	44	at	0.1084705451503396	0.10862024
0	45	the	1.7467182704422157	1.7473329
0	46	watch	2.3449663668870926	2.2074912
0	47	face	2.7269959188997746	2.8314013
0	48	to	0.32755184592679143	0.36041662
0	49	view	4.133675310527906	4.132496
0	50	the	1.2018144213943742	1.2033617
0	51	artist	12.103615462779999	11.492063
0	52	and	0.7758452219422907	1.3859874
0	53	title	2.7721545100212097	2.5548866
0	54	of	0.2637797074858099	0.48157272
0	55	a	1.6837985734746326	1.6844091
0	56	song.	3.039120502769947	2.9587798
1	0	Two	7.734917163848877	7.628208
1	1	days	3.9752999832853675	4.0913734
1	2	later,	4.152825128170662	4.165554
1	3	the	1.9505525357089937	1.9498459
1	4	British	6.244124876335263	6.2263947
1	5	astronomer	9.705882827896858	9.690402
1	6	Richard	3.0303077399730682	3.0567572
1	7	Carrington	2.5403417199850082	2.4109378
1	8	was	2.16065736906603	2.296983
1	9	observing	2.087327091023326	2.0832043
1	10	the	0.776206971029751	0.7816088
1	11	interesting	10.790418928489089	10.765102
1	12	sunspot	4.337933987379074	4.2973557
1	13	group	1.0848123356699944	1.0822196
1	14	through	6.5887579828558955	6.6579733
1	15	his	0.7547210401389748	0.7518969
1	16	telescope	1.3737415373325348	1.0565461
1	17	when	0.977347832173109	1.247767
1	18	he	0.46526549360714853	0.5126558
1	19	saw	1.9920262973755598	1.9762187
1	20	what	3.451727692037821	3.4680562
1	21	he	1.0502233479637653	1.0495555
1	22	described	1.4744602679274976	1.473237
1	23	as	0.06570432614535093	0.059857797
1	24	"""two"	4.22838123422116	4.23534
1	25	patches	5.382072918117046	5.3545656
1	26	of	0.0442561749368906	0.07296855
1	27	intensely	3.221074305474758	3.2154136
1	28	bright	1.119205854833126	1.1003022
1	29	and	4.082834662869573	4.1036997
1	30	white	3.190409116446972	3.1535456
1	31	"light"""	1.593170543666929	1.6330643
1	32	over	6.064520278945565	6.0494885
1	33	the	0.1570455704932101	0.17432123
1	34	sunspots.	4.9555056765675545	4.839269
1	35	He	1.584285897668451	1.6968998
1	36	jotted	7.678450034698471	7.6800127
1	37	a	2.6765869260761974	2.6787906
1	38	note	0.5932488776743412	0.533995
1	39	in	0.8425195234558487	0.9017281
