predictor	predictor_type	name	fold	diff_empty	diff_medium_surprisal	diff_full_surprisal
48	surprisal+prev_surprisal+prev2_surprisal+prev3_surprisal	1	surprisal	8	0.0344246292756587	0.0131431391475481	0.000640314347620574
49	surprisal+prev_surprisal+prev2_surprisal+prev3_surprisal	1	surprisal	9	0.0374531872381869	0.022127858246872	0.00140512071569976
50	surprisal+prev_surprisal+prev2_surprisal+prev3_surprisal	1	surprisal	10	0.0387363720427913	0.00951659093763624	0.00100487727167664
51	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	1	0.0468851504032743	0.0292411019943399	-0.000422820149672098
52	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	2	0.0473203946233678	0.0229690533467348	0.000805184426763361
53	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	3	0.0402832778302589	0.0205138374016025	0.000619761669041985
54	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	4	0.055448511282969	0.0297048833086526	-0.000278784977842506
55	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	5	0.0445301626950503	0.0236577764928247	-0.000136298064571605
56	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	6	0.0444219376043105	0.0269731017182773	0.00148258045623173
57	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	7	0.0372713443255055	0.0210836912193546	-0.000128756048730416
58	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	8	0.0344246292756587	0.0131431391475481	0.000640314347620574
59	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	9	0.0374531872381869	0.022127858246872	0.00140512071569976
60	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	1	surprisal	10	0.0387363720427913	0.00951659093763624	0.00100487727167664
61	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	1	0.0468851504032743	0.0292411019943399	-0.000422820149672098
62	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	2	0.0473203946233678	0.0229690533467348	0.000805184426763361
63	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	3	0.0402832778302589	0.0205138374016025	0.000619761669041985
